age,gender,income,education,married,children,city,occupation,purchase_amount,most bought item,labels
45,Male,61271.953358890096,Master,False,3,Lake Sheila,Doctor,87.69711834242366,monitor,electronics clothing sports
24,Female,53229.101073561775,High School,False,1,Crystalburgh,Businessman,115.13558622549097,lipstick,furniture beauty
45,Female,30066.04668359846,Bachelor,True,3,Margaretburgh,Engineer,101.69455857438265,biscuits,clothing electronics food sports
19,Male,48950.246384098704,PhD,False,0,Williamshaven,Lawyer,97.9648871394473,maggi,food
29,Female,44792.62709365476,Master,False,0,New Paul,Businessman,86.84728090385065,carpet,home
20,Female,51266.76704661121,Master,True,3,Frankport,Scientist,95.14510322277383,laptop,sports electronics books
27,Male,29578.136416224603,Bachelor,True,3,North Shelbyshire,Lawyer,69.02284162170585,table,beauty furniture clothing
20,Female,35325.309004722,PhD,False,3,South Raventown,Housewife,110.56451724532606,dictionary,books beauty
51,Male,40232.56435567347,PhD,True,0,Leonardtown,Salesman,107.83548978532892,curtains,electronics food home sports
19,Male,48053.58388154555,PhD,True,0,South Susan,Artist,108.85489809675545,chips,furniture food
57,Female,60907.8446290855,PhD,True,0,Gutierrezborough,HR,78.8316751604477,shoes,clothing home
27,Female,51033.62793525259,PhD,True,2,Lake Tiffanyhaven,Scientist,138.6726183716063,maggi,food books
63,Male,53402.223922740784,High School,False,0,New Kara,Scientist,118.088573489242,curtains,home
44,Female,34683.652618289125,Master,True,2,West Darlenemouth,Engineer,89.10146519803314,bat,sports furniture food home
51,Female,48815.172160476155,Bachelor,False,0,New Anthonytown,Salesman,65.79762232863524,biscuits,beauty clothing food
42,Female,40527.46314949081,High School,False,2,Markfurt,Engineer,101.59731563602708,gloves,books clothing sports
39,Male,57062.63929819454,High School,False,3,Scottberg,HR,71.08020046512671,laptop,electronics furniture food books
25,Female,40668.47895115987,High School,False,1,South Tina,Businessman,124.48710527906474,curtains,furniture electronics home sports
47,Male,50144.63071970715,Bachelor,True,2,Dawnport,Scientist,104.3738141829318,biscuits,clothing food beauty
47,Female,50595.565054651,Master,True,1,Stevenfort,Businessman,112.43197735404532,chips,food furniture
36,Female,34611.512757270495,High School,True,1,South Jeffreyberg,Lawyer,79.24646899126734,chips,home food
62,Male,51568.49387815004,Bachelor,False,0,Patriciaside,Engineer,118.09150586231826,pants,sports clothing home
25,Female,46971.308307482876,Master,False,1,South Steven,Engineer,109.71636831533179,bat,beauty sports
64,Male,50179.18942380713,High School,True,3,Cherylstad,Businessman,95.4958279042497,laptop,books electronics food
23,Male,47586.43186178855,Master,True,2,South Christinashire,HR,105.25796285592376,novel,electronics books
48,Male,57660.16177611229,PhD,True,1,West Scottburgh,Scientist,116.65564110194168,bed,furniture food sports
57,Male,46278.466041536674,Master,False,3,Grahamshire,Engineer,77.01256568799062,table,clothing furniture food books
50,Female,45270.63857888708,Master,False,0,Tracieshire,Engineer,92.14969322671689,curtains,food home
25,Male,60083.70355511571,Bachelor,True,0,Meadowston,Housewife,126.68939274445259,lipstick,home food beauty
64,Male,63176.02957964427,Master,False,0,North Lindachester,Scientist,118.54679803586477,mobile,sports electronics furniture books
27,Male,61772.48070232014,PhD,False,2,West Sarah,Lawyer,80.25853405593523,cream,beauty clothing home
50,Female,40800.94509740489,High School,True,2,East Kristy,Unemployed,80.7407132964585,encyclopedia,books clothing sports beauty
31,Female,57019.16955940884,Bachelor,False,0,Port Royport,Retired,119.80857156754274,mobile,electronics furniture food
57,Female,62617.10045992293,High School,True,3,Floresfurt,Artist,128.026274693076,chair,furniture beauty
37,Female,58970.41784222799,PhD,False,2,Timothyview,Retired,90.76007017165679,shirt,clothing sports books
53,Female,47683.6710820506,High School,True,0,South Julie,Retired,71.15952750332757,chips,food electronics clothing books
41,Male,64472.841977903365,PhD,True,2,Perkinshaven,Scientist,76.94898317887817,gloves,home sports books
19,Male,46421.930830034784,PhD,True,2,Jamesberg,Businessman,108.92300456138298,laptop,sports electronics furniture food
28,Female,42792.335252355115,Bachelor,True,2,Wesleytown,Businessman,93.00719862417347,novel,beauty food home books
34,Female,50458.70695248991,Bachelor,False,1,Port Ralph,Businessman,109.91018778791812,dictionary,books clothing sports
32,Male,43808.071941851784,Master,True,0,Port Ellen,Businessman,97.58513925005511,laptop,electronics clothing home sports
60,Male,50298.468526412944,Master,False,0,South Matthewport,Housewife,102.74446159679812,bed,furniture clothing
36,Male,49939.40565756932,Master,False,2,Melissachester,Retired,109.47384861127668,shirt,clothing beauty
30,Female,75087.8754300739,Bachelor,True,0,East David,Salesman,117.5142301427671,maggi,food furniture
21,Female,55900.65834334106,Bachelor,True,0,North Bradyview,Engineer,97.65708275942124,sofa,home electronics clothing books
22,Male,43315.95489189834,Bachelor,False,1,Alicehaven,HR,142.1895117433039,ball,sports furniture clothing
44,Female,67543.42980101,PhD,True,2,South Dawnberg,Lawyer,67.32506450923921,cream,beauty books
18,Male,64144.78205467261,Master,True,1,Hansenburgh,Lawyer,100.01279800687949,encyclopedia,books
46,Female,60468.953352239616,Master,True,2,Stephenfort,Unemployed,103.70231047958572,monitor,electronics beauty books
46,Male,61425.58928182784,Master,False,1,Cynthiaberg,Artist,119.41931185661167,dictionary,furniture electronics books
19,Male,44284.05483724431,Master,False,0,New Katelynton,Artist,102.88940647360394,pants,clothing food sports beauty
37,Female,46212.644202483236,Bachelor,True,0,North James,Scientist,83.48627226674893,maggi,food home sports
58,Female,51057.8931668608,Bachelor,True,1,New Elizabeth,Engineer,133.76108247015858,lipstick,home beauty
59,Male,50176.11986300034,PhD,False,0,Joshuaborough,Businessman,87.23789113613594,ball,sports
54,Female,48484.66522847292,High School,False,3,North Jerry,Salesman,77.03417974003057,curtains,beauty furniture clothing home sports
35,Female,40317.993845782315,High School,True,0,Aarontown,HR,104.83573849753081,novel,books electronics
42,Female,58886.92958347335,High School,True,3,West Daniel,Salesman,152.1042844097258,shirt,electronics clothing food books
25,Male,52708.950263399194,PhD,False,3,Aprilmouth,HR,108.9685492131818,shirt,furniture electronics clothing sports
29,Female,52268.35064266082,High School,False,3,Lake Amanda,HR,83.56369465523238,carpet,clothing home
59,Female,47076.5853663922,PhD,False,3,Popehaven,Unemployed,127.54793571644846,dictionary,food books
33,Female,63572.50302465411,Master,True,2,Donnabury,Lawyer,120.03972952301362,sofa,home electronics beauty
45,Male,58858.477095471506,Master,False,0,East Ashleymouth,Retired,89.29808853926384,maggi,sports furniture clothing food home beauty books
19,Female,50332.89220106663,High School,False,2,Chelseachester,Businessman,120.83707787970195,ball,beauty sports
24,Female,44552.09894748906,High School,False,0,North Andrew,Engineer,121.68514597910907,dictionary,books home
44,Female,42183.725846177535,Master,False,1,Hahnview,Doctor,80.53649282514672,mobile,electronics furniture
30,Male,54987.27776667199,High School,False,2,East Anna,Salesman,62.24209518813997,bed,furniture food
44,Male,68786.93111812898,PhD,False,0,Kingside,Salesman,133.8278596938748,shoes,clothing
46,Female,39312.647642314994,Master,False,1,Padillaland,HR,112.16464960653079,lipstick,food furniture beauty
46,Female,40586.188382626206,Bachelor,False,1,Martinezmouth,Doctor,108.01887297227418,novel,home electronics furniture beauty books
37,Female,43664.679377202105,PhD,True,0,Mariemouth,Retired,108.95798381470098,bat,sports electronics
30,Male,51386.376828099455,Master,True,3,Eugenefort,Doctor,86.46898786157861,novel,beauty books
49,Female,60730.37778693777,Master,True,0,West Gwendolynton,Salesman,105.16819387916387,bat,books electronics food home sports
59,Male,43437.66527663413,Bachelor,False,1,North Lisaport,Artist,70.93218278958771,monitor,electronics
57,Female,59157.50778260416,High School,False,0,Johnsonborough,Scientist,119.54070902643262,chips,furniture food home
63,Male,38978.55492161637,Bachelor,True,0,Rushside,Salesman,94.20188994818538,lipstick,clothing electronics food sports beauty
48,Male,59511.36284774721,PhD,True,3,South Nicole,Lawyer,117.15387858365234,table,food furniture books
59,Female,27444.718353823373,PhD,False,0,South Krista,Housewife,71.06223505534149,dictionary,home electronics furniture books
28,Female,36344.0561432044,Bachelor,False,1,West Kimberlyview,Scientist,119.72085203956343,gloves,sports books
54,Male,39234.475401825875,PhD,True,3,North Robert,HR,111.32002100527478,carpet,beauty home
28,Male,37749.20367053849,Master,False,3,Michelleville,Housewife,107.20278024795503,chair,books electronics furniture beauty
26,Male,69052.16320279146,High School,True,3,Dunlapside,Engineer,107.7798689021385,lipstick,electronics beauty
60,Male,61633.95499867969,High School,True,3,Stephensside,Doctor,92.09842384693746,mobile,furniture electronics
