2023-10-22 22:04:45,046 INFO    MainThread:39568 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-22 22:04:45,047 INFO    MainThread:39568 [wandb_setup.py:_flush():76] Configure stats pid to 39568
2023-10-22 22:04:45,047 INFO    MainThread:39568 [wandb_setup.py:_flush():76] Loading settings from /Users/arygup/.config/wandb/settings
2023-10-22 22:04:45,047 INFO    MainThread:39568 [wandb_setup.py:_flush():76] Loading settings from /Users/arygup/Documents/GitHub/assignment-3-arygup/A3/wandb/settings
2023-10-22 22:04:45,047 INFO    MainThread:39568 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-22 22:04:45,047 INFO    MainThread:39568 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-22 22:04:45,047 INFO    MainThread:39568 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-10-22 22:04:45,047 INFO    MainThread:39568 [wandb_init.py:_log_setup():528] Logging user logs to /Users/arygup/Documents/GitHub/assignment-3-arygup/A3/wandb/run-20231022_220445-talyls5k/logs/debug.log
2023-10-22 22:04:45,047 INFO    MainThread:39568 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/arygup/Documents/GitHub/assignment-3-arygup/A3/wandb/run-20231022_220445-talyls5k/logs/debug-internal.log
2023-10-22 22:04:45,047 INFO    MainThread:39568 [wandb_init.py:_jupyter_setup():474] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x13f4ac590>
2023-10-22 22:04:45,047 INFO    MainThread:39568 [wandb_init.py:init():568] calling init triggers
2023-10-22 22:04:45,047 INFO    MainThread:39568 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.01, 'activation': 'relu', 'hidden_layer': [10, 15], 'Optimizer': 'SGD'}
2023-10-22 22:04:45,047 INFO    MainThread:39568 [wandb_init.py:init():593] re-initializing run, found existing run on stack: nsk2ndv6
2023-10-22 22:04:45,048 INFO    MainThread:39568 [wandb_run.py:_finish():1934] finishing run smaia3/Ques3/nsk2ndv6
2023-10-22 22:04:45,048 INFO    MainThread:39568 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2023-10-22 22:04:45,048 INFO    MainThread:39568 [wandb_run.py:_restore():2151] restore
2023-10-22 22:04:45,049 INFO    MainThread:39568 [wandb_run.py:_restore():2157] restore done
2023-10-22 22:04:48,804 INFO    MainThread:39568 [wandb_run.py:_footer_history_summary_info():3599] rendering history
2023-10-22 22:04:48,805 INFO    MainThread:39568 [wandb_run.py:_footer_history_summary_info():3631] rendering summary
2023-10-22 22:04:48,815 INFO    MainThread:39568 [wandb_run.py:_footer_sync_info():3558] logging synced files
2023-10-22 22:04:48,954 INFO    MainThread:39568 [wandb_init.py:init():618] starting backend
2023-10-22 22:04:48,954 INFO    MainThread:39568 [wandb_init.py:init():622] setting up manager
2023-10-22 22:04:48,956 INFO    MainThread:39568 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-10-22 22:04:48,957 INFO    MainThread:39568 [wandb_init.py:init():628] backend started and connected
2023-10-22 22:04:48,971 INFO    MainThread:39568 [wandb_run.py:_label_probe_notebook():1276] probe notebook
2023-10-22 22:04:48,972 INFO    MainThread:39568 [wandb_run.py:_label_probe_notebook():1286] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-10-22 22:04:48,972 INFO    MainThread:39568 [wandb_init.py:init():720] updated telemetry
2023-10-22 22:04:48,995 INFO    MainThread:39568 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-22 22:04:50,569 INFO    MainThread:39568 [wandb_run.py:_on_init():2220] communicating current version
2023-10-22 22:04:50,736 INFO    MainThread:39568 [wandb_run.py:_on_init():2229] got version response 
2023-10-22 22:04:50,736 INFO    MainThread:39568 [wandb_init.py:init():804] starting run threads in backend
2023-10-22 22:04:53,803 INFO    MainThread:39568 [wandb_run.py:_console_start():2199] atexit reg
2023-10-22 22:04:53,803 INFO    MainThread:39568 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-22 22:04:53,803 INFO    MainThread:39568 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-22 22:04:53,803 INFO    MainThread:39568 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-22 22:04:53,803 INFO    MainThread:39568 [wandb_init.py:init():845] run started, returning control to user process
2023-10-22 22:04:54,490 INFO    MainThread:39568 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-10-22 22:04:54,490 INFO    MainThread:39568 [wandb_init.py:_pause_backend():438] pausing backend
2023-10-22 22:05:45,357 INFO    MainThread:39568 [wandb_init.py:_resume_backend():443] resuming backend
2023-10-22 22:05:45,361 INFO    MainThread:39568 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-10-22 22:05:45,361 INFO    MainThread:39568 [wandb_init.py:_pause_backend():438] pausing backend
