Dropout,Hidden_Dims,Optimizer,Epoch,Train_Perplexity,Test_Perplexity
0.0,"(300, 300)",Adam,1,796.472412109375,655.798583984375
0.0,"(300, 300)",Adam,2,428.12567138671875,676.0811157226562
0.0,"(300, 300)",Adam,3,298.8875732421875,798.0238037109375
0.0,"(300, 300)",SGD,1,3552.29541015625,3448.84228515625
0.0,"(300, 300)",SGD,2,3243.393310546875,2928.63623046875
0.0,"(300, 300)",SGD,3,2017.2969970703125,1419.774169921875
0.0,"(300, 300)",RMSprop,1,696.7799682617188,594.576171875
0.0,"(300, 300)",RMSprop,2,387.276123046875,708.4522705078125
0.0,"(300, 300)",RMSprop,3,268.7630310058594,886.8939819335938
0.0,"(200, 200)",Adam,1,808.7908935546875,658.1007080078125
0.0,"(200, 200)",Adam,2,431.27471923828125,703.621826171875
0.0,"(200, 200)",Adam,3,303.1057434082031,773.9268188476562
0.0,"(200, 200)",SGD,1,3514.826171875,3399.9580078125
0.0,"(200, 200)",SGD,2,3145.94091796875,2735.188720703125
0.0,"(200, 200)",SGD,3,1794.615478515625,1323.4615478515625
0.0,"(200, 200)",RMSprop,1,702.8013305664062,674.1859130859375
0.0,"(200, 200)",RMSprop,2,403.93023681640625,726.6390991210938
0.0,"(200, 200)",RMSprop,3,284.4410705566406,856.7647094726562
0.0,"(400, 400)",Adam,1,765.236083984375,685.3323364257812
0.0,"(400, 400)",Adam,2,415.95245361328125,684.9598999023438
0.0,"(400, 400)",Adam,3,283.302001953125,864.5151977539062
0.0,"(400, 400)",SGD,1,3489.489501953125,3352.604248046875
0.0,"(400, 400)",SGD,2,2952.6376953125,2284.4814453125
0.0,"(400, 400)",SGD,3,1474.079833984375,1135.5408935546875
0.0,"(400, 400)",RMSprop,1,722.5936889648438,621.4022827148438
0.0,"(400, 400)",RMSprop,2,388.39886474609375,770.7978515625
0.0,"(400, 400)",RMSprop,3,263.93243408203125,962.8878173828125
0.3,"(300, 300)",Adam,1,778.744384765625,612.1652221679688
0.3,"(300, 300)",Adam,2,466.8606872558594,645.6778564453125
0.3,"(300, 300)",Adam,3,363.2064514160156,715.037353515625
0.3,"(300, 300)",SGD,1,3531.851806640625,3433.634521484375
0.3,"(300, 300)",SGD,2,3227.75830078125,2925.389892578125
0.3,"(300, 300)",SGD,3,2032.4044189453125,1397.7552490234375
0.3,"(300, 300)",RMSprop,1,706.5785522460938,588.9224243164062
0.3,"(300, 300)",RMSprop,2,441.9189147949219,641.473876953125
0.3,"(300, 300)",RMSprop,3,340.625732421875,759.3580932617188
0.3,"(200, 200)",Adam,1,809.1712646484375,611.727783203125
0.3,"(200, 200)",Adam,2,473.7683410644531,660.9379272460938
0.3,"(200, 200)",Adam,3,378.57611083984375,728.3986206054688
0.3,"(200, 200)",SGD,1,3493.2919921875,3366.274658203125
0.3,"(200, 200)",SGD,2,3082.2197265625,2579.99609375
0.3,"(200, 200)",SGD,3,1767.4869384765625,1290.9659423828125
0.3,"(200, 200)",RMSprop,1,713.4179077148438,631.0751342773438
0.3,"(200, 200)",RMSprop,2,452.0953063964844,647.6531372070312
0.3,"(200, 200)",RMSprop,3,353.6416931152344,722.7550048828125
0.3,"(400, 400)",Adam,1,763.386474609375,610.7406616210938
0.3,"(400, 400)",Adam,2,458.8194885253906,641.369873046875
0.3,"(400, 400)",Adam,3,352.9875183105469,715.678955078125
0.3,"(400, 400)",SGD,1,3497.148681640625,3382.7421875
0.3,"(400, 400)",SGD,2,3067.4873046875,2558.80908203125
0.3,"(400, 400)",SGD,3,1674.1468505859375,1227.422119140625
0.3,"(400, 400)",RMSprop,1,711.0745239257812,590.7252197265625
0.3,"(400, 400)",RMSprop,2,436.049560546875,626.6673583984375
0.3,"(400, 400)",RMSprop,3,328.5794982910156,798.9653930664062
0.5,"(300, 300)",Adam,1,818.3671875,616.6570434570312
0.5,"(300, 300)",Adam,2,506.1424255371094,628.8818969726562
0.5,"(300, 300)",Adam,3,421.9261474609375,677.7818603515625
0.5,"(300, 300)",SGD,1,3524.674560546875,3423.50146484375
0.5,"(300, 300)",SGD,2,3191.86083984375,2847.98681640625
0.5,"(300, 300)",SGD,3,2015.058837890625,1402.2620849609375
0.5,"(300, 300)",RMSprop,1,735.6256713867188,592.04638671875
0.5,"(300, 300)",RMSprop,2,492.2078857421875,638.0635986328125
0.5,"(300, 300)",RMSprop,3,412.3649597167969,691.3895874023438
0.5,"(200, 200)",Adam,1,861.6442260742188,625.8721313476562
0.5,"(200, 200)",Adam,2,522.2716064453125,634.3972778320312
0.5,"(200, 200)",Adam,3,432.2050476074219,682.9388427734375
0.5,"(200, 200)",SGD,1,3535.498046875,3434.862548828125
0.5,"(200, 200)",SGD,2,3260.916748046875,3006.530517578125
0.5,"(200, 200)",SGD,3,2289.05908203125,1591.619140625
0.5,"(200, 200)",RMSprop,1,750.795166015625,600.9850463867188
0.5,"(200, 200)",RMSprop,2,499.06298828125,645.4380493164062
0.5,"(200, 200)",RMSprop,3,423.23046875,760.5927124023438
0.5,"(400, 400)",Adam,1,786.0776977539062,606.019287109375
0.5,"(400, 400)",Adam,2,497.6924743652344,627.548583984375
0.5,"(400, 400)",Adam,3,414.81414794921875,671.9947509765625
0.5,"(400, 400)",SGD,1,3511.160888671875,3382.680908203125
0.5,"(400, 400)",SGD,2,3050.70068359375,2493.351318359375
0.5,"(400, 400)",SGD,3,1735.0272216796875,1260.494384765625
0.5,"(400, 400)",RMSprop,1,733.2089233398438,641.2796630859375
0.5,"(400, 400)",RMSprop,2,488.30206298828125,612.5331420898438
0.5,"(400, 400)",RMSprop,3,402.6287536621094,669.6798095703125
